Name	Number of Occurrences		FemaleDirIsIn245
Alexander Sokurov	8		
Alexandra Lescaze	1		
Alexandre O	1		
Alexandro Jodorowsky	1		
Alexey Balabanov	1		
Alfonso Arau	1		
Alfonso Cuaron	3		
Alfred Hitchcock	40		
Alfred Radok	1		
Ali	1		
Ali Raffi	1		
Ali Samadi Ahadi	1		
Alice Markowitz	1		
Alicky Sussman	1		
Alile Sharon Larkin	1		
Alison Klayman	1		
Allan Dwan	3		
Allan Moyle	1		
Allen Mondell	1		
Allison Argo	1		
Allison Berg	1		
Allison Bohl	1		
Almudena Carracedo	1		
Alon Zingman	1		
Alrick Riley	1		
Aluizio Abranches	1		
Alvin Rakoff	3		
Amanda Homsi	1		
Amie S	1		
Amin Matalqa	1		
Amir Bar	3		
Amir Manor	1		
Amir Muhammad	1		
Amir Soltani	1		
Amos Gitai	7		
Amos Kollek	2		
Amy Bucher	1		
Amy Hardie	1		
Ana Sofia Joanes	2		
Ana Vivas	1		
Anatole Litvak	2		
Andre	1		
Andre Haguet	2		
Andre Singer	7		
Andrea Ambandos	4		
Andrea Kalin	1		
Andrei Konchalovsky	2		
Andrei Kravchuk	1		
Andrei Tarkovskii	2		
Andrei Tarkovskij	1		
Andrei Tarkovsky	5		
Andrew Adamson	1		
Andrew Black	1		
Andrew Davis	1		
Andrew Dominik	1		
Andrew Dosunmu	1		
Andrew Fredericks	1		
Andrew Jarecki	1		
Andrew Lampert	1		
Andrew Lau	3		
Andrew Levine	1		
Andrew Liebman	1		
Andrew Marton	1		
Andrew Mudge	1		
Andrew Niccol	2		
Andrew Solt	2		
Andrew Stanton	3		
Andrew Stone	1		
Andrew Thompson	1		
Andrew V	7		
Andrzej Bartkowiak	1		
Andrzej Wajda	1		
Andrzej Z	1		
Andy Abrahams Wilson	2		
Andy Amenechi	1		
Andy Spitz	1		
Andy Tennant	2		
Andy Warhol	1		
Ang Lee	7		
Angad Singh Bhalla	1		
Angela Tucker	1		
Angelo Mancuso	1		
Anisa Mehdi	1		
Anita Saewitz	1		
Anja	2		
Ann Fessler	1		
Anna Sofaer	1		
Anna Terean	1		
Anne	1		
Anne Aghion	2		
Anne Goursaud	1		
Anne Lewis	1		
Annette	1		
Anthony Asquith	4		
Anthony Harvey	2		
Anthony Kimmins	1		
Anthony Mann	9		
Anthony Minghella	2		
Anthony Page	1		
Anthony Perkins	1		
Anthony Quinn	1		
Anthony Russo	1		
Anthony Thomas	1		
Antoine Beau	1		
Antoine Fuqua	1		
Antonio Nuic	1		
Antony Thomas	2		
Anusha Rizvi	1		
Apichatpong Weerasethakul	1		
Archie L	1		
Archie Mayo	2		
Ari Libsker	1		
Ari Luis Palos	1		
Ariel Rotter	1		
Ariel Schulman	1		
Arik Kaplun	1		
Arivind Abraham	1		
Arlene Bowman	1		
Arliss Howard	1		
Armand Mastroianni	1		
Armando Arencibia	1		
Arnon Goldfinger	2		
Arsen Anton Ostojic	1		
Art Wolff	1		
Arthur A	1		
Arthur Crabtree	1		
Arthur Hiller	2		
Arthur Lubin	1		
Arthur Marks	1		
Arthur Penn	3		
Arthur Rankin	2		
Arthur Robison	1		
Arturo Perez Torres	1		
Arturo Ripstein	1		
Arun Rath	1		
Arvin Brown	2		
Asghar Farhadi	2		
Ashutosh Gowariker	4		
Asif Kapadia	2		
Astra Taylor	2		
Atsushi Saito	1		
Austin Hoyt	3		
Avi Cohen	1		
Avi Lewis	1		
Avi Nesher	1		
Avishai Sivan	2		
B	1		
Babak Payami	1		
Bader Ben Hirsi	1		
Bae Yong	1		
Bahman Ghobadi	1		
Banker White	1		
Banksy	1		
Barak Goodman	6		
Barbara	1		
Barbara Attie	1		
Barbara Caspar	1		
Barbara F	1		
Barbara Trent	2		
Barbara Zahm	1		
Barbet Schroeder	1		
Barni Axmed Qaasim	1		
Barry Avrich	1		
Barry Levinson	4		
Barry Simmons	1		
Barry Sonnenfeld	2		
Barry Sonnenfield	1		
Barry W	1		
Basil Coleman	2		
Basil Dearden	2		
Basil Gelpke	1		
Baz Luhrmann	4		
Bela Tarr	1		
Ben Affleck	1		
Ben Lemoine	1		
Ben Lewin	1		
Ben Lewis	1		
Ben Niles	1		
Ben Sharpsteen	1		
Ben Steinbauer	1		
Ben Stiller	3		
Benh Zeitlin	2		
Benicio Del Toro	1		
Benjamin Avila	1		
Benjamin Christensen	2		
Bennett Miller	2		
Benni Torati	1		
Benoit Delepine	1		
Bent Hamer	1		
Bentley Dean	1		
Bernard George	1		
Bernard Rose	2		
Bernardo Bertolucci	3		
Bertrand Blier	1		
Beth Bird	1		
Beth Mc	1		
Bethany Ashton Wolf	1		
Bettina Perut	1		
Beverly Seckinger	1		
Beverly Willis	1		
Bill Anderson	2		
Bill Bennett	1		
Bill Condon	1		
Bill Cosby	1		
Bill Douglas	1		
Bill Guttentag	1		
Bill Haney	2		
Bill Kavanagh	1		
Bill Locke	1		
Bill Melendez	2		
Bill Siegel	1		
Bille August	3		
Billy Bob Thornton	1		
Billy Corben	1		
Billy Luther	1		
Billy Ray	1		
Billy Wilder	14		
Bimal Roy	1		
Biyi Bandele	1		
Blake Edwards	2		
Boaz Yakin	1		
Bob Barrett	1		
Bob Carruthers	9		
Bob Connolly	2		
Bob Fosse	1		
Bob Hercules	2		
Bob Rafelson	2		
Bob Shami	1		
Bob Spiers	1		
Bobby Garabedian	1		
Bocafloja	1		
Bohdan Slama	1		
Bong Joon	3		
Boris Carrete	1		
Boris Sagal	3		
Bouli Lanners	1		
Brad Anderson	3		
Brad Bird	3		
Brad Silberling	1		
Bradley Raymond	1		
Bret Wood	1		
Brett Gaylor	1		
Brett Morgen	1		
Brett Ratner	1		
Brian Bain	1		
Brian Cohen	1		
Brian Dannelly	1		
Brian De	1		
Brian De Palma	11		
Brian G	1		
Brian Gilbert	1		
Brian Kirk	1		
Brian Lighthill	1		
Brian Lilla	1		
Brian Percival	1		
Brian Yuzna	1		
Briar March	1		
Brigitte Brault	1		
Brosens	1		
Bruce	2		
Bruce Alfred	1		
Bruce Beresford	4		
Bruce Norfleet	1		
Bruce R	5		
Bruce Robinson	2		
Bruce Weber	1		
Bruno Ulmer	1		
Bryan Cranston	1		
Bryan D	1		
Bryan Law	1		
Bryan Singer	6		
Budd Boetticher	1		
Burt Brinckerhoff	1		
Burt Gillett	1		
Burt Kennedy	1		
Burt Shevelove	1		
Busby Berkeley	4		
Buzz Kulik	2		
Byron Haskin	1		
Byrt Wammack	1		
C	2		
Caius Julyan	1		
Cameron Crowe	1		
Camilo Vila	1		
Candace Schermerhorn	1		
Candida Brady	1		
Cao Hamburger	1		
Cara Biasucci	1		
Carl	1		
Carl Byker	4		
Carl Charlson	1		
Carl Franklin	1		
Carl Th	1		
Carl Theodor Dreyer	1		
Carl Theodore Dreyer	1		
Carlos Diegues	2		
Carlos Ferrand Zavala	1		
Carlos Garcia	2		
Carlos Marques	1		
Carlos Nine	1		
Carlos Sorin	1		
Carma Hinton	1		
Carmine Cervi	1		
Carmine Gallone	1		
Carol Reed	4		
Carol Sauvion	1		
Carolina Rivas	1		
Caroline Penry	2		
Caroline Sargent	1		
Carolyn Strachan	1		
Carroll Ballard	1		
Carroll Moore	2		
Carvin Eison	1		
Cary Joji Fukunaga	2		
Cassian Harrison	1		
Catherine Tatge	2		
Catherine Ulmer Lopez	1		
Cathleen O	1		
Cathy Clarke	1		
Cathy Henkel	1		
Cecil B	3		
Cedric Klapisch	1		
Cedric Messina	2		
Celine Danhier	1		
Cesc Gay	1		
Chad Freidrichs	1		
Chana Gazit	2		
Chang Cheh	1		
Chang Chen	1		
Chang Cheun	1		
Charlene Gilbert	2		
Charles Atlas	1		
Charles Barton	2		
Charles Brabin	1		
Charles Chaplin	13		
Charles Crichton	2		
Charles Dennis	4		
Charles F	1		
Charles Ferguson	1		
Charles Lane	1		
Charles Laughton	1		
Charles M	1		
Charles Marquis Warren	1		
Charles S	1		
Charles Shaw	1		
Charles Stone	1		
Charles Sturridge	1		
Charles T	1		
Charles Vidor	1		
Charles Walters	1		
Charlie Chaplin	6		
Charlie Kaufman	1		
Charlie Medina	1		
Charlton Heston	1		
Chelsea Moynehan	1		
Chema Rodriguez	2		
Chen Guoxing	1		
Chen Kaige	2		
Cheol	2		
Chere Breaux	1		
Chineze Anyaene	1		
Chip Duncan	2		
Chris Buck	1		
Chris Columbus	2		
Chris Felver	1		
Chris Gormlie	1		
Chris Kraus	1		
Chris Maybach	1		
Chris Moore	1		
Chris Renaud	1		
Chris Sivertson	1		
Chris Smith	2		
Chris Szwedo	1		
Chris Triffo	1		
Chris Weitz	1		
Chris Williams	1		
Christian Nyby	2		
Christian Petzold	2		
Christine Beebe	1		
Christine Choy	2		
Christine Fugate	1		
Christopher Bell	1		
Christopher Cain	1		
Christopher Cassel	1		
Christopher Felver	1		
Christopher Guest	2		
Christopher Hodson	3		
Christopher Mc	2		
Christopher Nolan	6		
Christopher Walker	1		
Christopher Wilcha	2		
Chuan Lu	1		
Chuck Jones	1		
Chuck O	1		
Cindy Burstein	1		
Ciro Guerra	1		
Clare Beavan	1		
Clare Smyth	1		
Clarence Badger	2		
Clarence Brown	6		
Claude Berri	1		
Claude Chabrol	1		
Claudia Willke	1		
Clayton Brown	1		
Clement Virgo	1		
Clint Eastwood	9		
Clive Barker	1		
Clive Maltby	2		
Clyde Geronimi	1		
Coco Fusco	1		
Coco Schrijber	1		
Colin Higgins	1		
Colin Teague	1		
Colleen O	1		
Conni Castille	1		
Connie Field	1		
Connie Julian	1		
Connie Littlefield	1		
Corine Huq	1		
Cory Taylor	1		
Craig Brewer	4		
Craig Gilbert	1		
Craig Monahan	1		
Craig Scott Rosebraugh	1		
Cristobal Krusen	1		
Curt Conway	1		
Curtis Bernhardt	1		
Curtis Hanson	5		
Cynthia Capen	1		
Cynthia Connop	1		
Cynthia Page	1		
Cynthia Salzman Mondell	2		
Cyril Bruce	1		
Cyril Coke	1		
D	2		
Dagmar Schultz	1		
Dain Said	1		
Daisuke Goto	1		
Dale Berry	1		
Dalia Hager	1		
Dalton Narine	6		
Damian Pettigrew	1		
Damien Chazelle	1		
Damien O	1		
Damon Thomas	1		
Dan Clifton	1		
Dan Lohaus	1		
Dan Reed	1		
Dan Setton	2		
Dan Susman	1		
Dani Levy	1		
Daniel Auteuil	1		
Daniel B	1		
Daniel Barnz	1		
Daniel Freudenberger	1		
Daniel Junge	1		
Daniel Karslake	1		
Daniel Leconte	1		
Daniel Mann	3		
Daniel Mc	1		
Daniel Minahan	2		
Daniel Monzon	1		
Daniel Ribeiro	1		
Daniel Vidal	1		
Daniele Lacourse	2		
Danny Boyle	2		
Danny L	1		
Danny Leiner	1		
Danny Verete	1		
Dario Argento	4		
Dariush Mehrjui	1		
Darrell James Roodt	1		
Darren Aronofsky	4		
Dave Boyle	1		
Dave Fleischer	6		
Dave Iverson	1		
Dave Weber	1		
Davey Marlin	1		
David Alter	1		
David Anspaugh	2		
David Bickerstaff	1		
David Bowers	1		
David Breashers	1		
David Bruckner	1		
David Butler	2		
David Carson	1		
David Collier	1		
