Name	Number of Occurrences		FemaleDirIsIn245
Hiroyuki Tsuji	1		
Hisham Abdullah	3		
Hong Sang	2		
Howard Alk	2		
Howard Baker	1		
Howard Deutch	1		
Howard Hawks	15		
Howard Hughes	2		
Hsiao	2		
Huang Oiagui	1		
Hugh David	1		
Hugh Hudson	1		
Hugh Thomson	1		
Hussein Kamal	2		
Hyatt	1		
Hyon Moak Yu	1		
Hyung Rae Shim	1		
I	1		
Iain Forsyth	1		
Iain Softley	2		
Ian Fitzgibbon	1		
Ian Gabriel	1		
Ian Mc	1		
Ian Taylor	1		
Ibolya Fekete	1		
Igor Sopronenko	1		
Ilan Moshenson	1		
Ilan Ziv	3		
Ilana Trachtman	1		
Ildiko Szabo	1		
Ilisa Barbash	1		
Ilja Kok	1		
Im Kwon Taek	1		
Im Sang	2		
Imanol Uribe	1		
In	1		
Ingmar Bergman	3		
Ingrid Sinclair	1		
Inoshiro Honda	2		
Ira Mc	1		
Ira Sachs	1		
Irena Salina	1		
Irene Taylor Brodsky	1		
Irvin S	1		
Irving Cummings	6		
Irving J	3		
Irving Pichel	1		
Irving Rapper	2		
Isaac Florentine	1		
Isaac Julien	2		
Isabel Hill	1		
Isao Takahata	4		
Ishiro Honda	1		
Israel Becker	1		
Issa Serge Coelo	1		
Istvan Szabo	3		
Ivan Acosta	1		
Ivan Dixon	2		
J	3		
Jack Arnold	3		
Jack Bond	1		
Jack Clayton	1		
Jack Cutting	1		
Jack Dillon	1		
Jack Donohue	1		
Jack Gold	2		
Jack Hill	2		
Jack Hofsiss	2		
Jack Landau	1		
Jack O	3		
Jack Smight	1		
Jack Webb	1		
Jack Weis	1		
Jack Woods	1		
Jackie Chan	1		
Jackie Mow	1		
Jacob Chase	1		
Jacoba Dedert	1		
Jacon Kornbluth	1		
Jacques Audiard	1		
Jacques Becker	2		
Jacques Cluzard	1		
Jacques Rivette	4		
Jacques Tourneur	5		
Jacqui Lofaro	1		
Jafar Panahi	2		
Jake Kasdan	1		
Jamal Joseph	1		
Jambu	1		
James Banks	1		
James Barrat	1		
James Brabazon	1		
James Bradstock	1		
James Bridges	1		
James Burrows	1		
James Cameron	6		
James Cellan Jones	2		
James E	1		
James Erskine	1		
James H	2		
James Ivory	2		
James L	2		
James Lee	1		
James Longley	1		
James Mangold	3		
James Marsh	3		
James Mc	1		
James Naughton	1		
James R	1		
James Redford	1		
James Whale	1		
James Wong Howe	1		
James Young	1		
Jamie Morgan	1		
Jamika Ajalon	1		
Jamila Wignot	1		
Jan De Bont	1		
Jan Harlan	1		
Jan Krawitz	1		
Jan Louter	1		
Jan Sikl	1		
Jan Svankmajer	1		
Jan Sverak	1		
Jan Thompson	1		
Jane Gardner	1		
Jane Howell	4		
Jane Kennedy	1		
Janet Graham	1		
Jang Hun	1		
Jang Yun Hyeon	1		
Jared Hess	1		
Jason Ferris	1		
Jason Lapeyre	1		
Jason Osder	1		
Jason Reitman	3		
Jason Spingarn	1		
Jaume Belaguero	1		
Jaume Collet	1		
Jay Kincaid	1		
Jay Roach	4		
Jay Rosenblatt	1		
Jay Sandrich	2		
Jean	27		
Jean Antoine	2		
Jean Bergeron	1		
Jean Carlomusto	1		
Jean Cheng	1		
Jean Claude Bragard	2		
Jean Cocteau	1		
Jean Crousillac	1		
Jean Francois Vallee	1		
Jean Luc Godard	1		
Jean Marie Offenbacher	1		
Jean Negulesco	1		
Jean Renoir	5		
Jed Riffe	2		
Jeff Bleckner	1		
Jeff Farber	1		
Jeff Marks	1		
Jeff Nichols	2		
Jeff Waters	2		
Jeff Zimbalist	1		
Jeffrey Friedman	2		
Jeffrey L	1		
Jeffrey Wolf	1		
Jehane Noujaim	1		
Jeni Kendell	1		
Jenifer Mc	1		
Jennie Livingston	1		
Jennifer Baumgardner	1		
Jennifer M	1		
Jennifer Redfearn	1		
Jens Afflerbach	1		
Jeong	1		
Jeong Yun	1		
Jeremiah Chechik	2		
Jeremy Earp	6		
Jeremy Gans	1		
Jeremy Monblat	1		
Jeremy Newson	1		
Jeremy Robins	1		
Jeremy Simmons	1		
Jeremy Teicher	1		
Jeroen Krabbe	1		
Jerry Belson	1		
Jerry Lewis	1		
Jerry Rees	1		
Jerzy Kawalerowicz	1		
Jerzy Stuhr	1		
Jesse Epstein	1		
Jesse Rosensweet	1		
Jessica Sanders	1		
Ji Dan	1		
Jia Zhang	2		
Jia Zhangke	1		
Jiang Wen	1		
Jihan El	1		
Jill Freidberg	1		
Jim	1		
Jim Butterworth	1		
Jim Finn	1		
Jim Gillespie	1		
Jim Hoskinson	1		
Jim Jarmusch	7		
Jim Klein	1		
Jim Mallon	1		
Jim Mc	1		
Jim Muro	1		
Jim Sharman	1		
Jim Sheridan	3		
Jin Hyuk	1		
Joachim Kunert	1		
Joan Craft	1		
Joanne Caputo	1		
Joanne Grant	1		
Joe Adamson	1		
Joe Berlinger	3		
Joe Camp	1		
Joe Chappelle	1		
Joe Dante	1		
Joe Fox	1		
Joe Johnston	2		
Joe May	1		
Joe Roth	1		
Joe Tropea	1		
Joe Wright	1		
Joel Coen	14		
Joel Gallen	2		
Joel Geyer	1		
Joel Karekezi	1		
Joel Schumacher	5		
Joel Skidmore	3		
Johan Grimonprez	2		
John Akomfrah	1		
John Ankele	1		
John Badham	1		
John Barker	1		
John Boorman	1		
John Boskovich	1		
John Brahm	1		
John Bridcut	1		
John Carlaw	10		
John Carpenter	5		
John Cassavetes	1		
John Clive	1		
John Cromwell	4		
John Curran	1		
John Dahl	1		
John Davies	1		
John Desmond	2		
John Du Cane	1		
John Duigan	1		
John Erman	1		
John Farrow	3		
John Ford	23		
John Frankenheimer	1		
John Frankheimer	1		
John G	2		
John Glenister	1		
John Gorrie	3		
John Greyson	1		
John Guillermin	1		
John Hancock	1		
John Hillcoat	1		
John Howard Davies	1		
John Hughes	3		
John Huston	17		
John Irvin	1		
John Junkerman	1		
John Kirby	1		
John Landis	1		
John Lasseter	3		
John Lassetter	1		
John Lee Hancock	1		
John Libretto	1		
John Mackenzie	1		
John Madden	1		
John Marshall	2		
John Maybury	1		
John Mc	2		
John Moore	1		
John Musker	3		
John Paul Davidson	1		
John Quested	1		
John Requa	1		
John Rich	1		
John Robert	1		
John Robertson	1		
John Rubin	2		
John S	4		
John Sayles	2		
John Scheinfeld	1		
John Schlesinger	6		
John Singleton	3		
John Stevenson	1		
John Stix	1		
John Sturges	3		
John Trefor	1		
John Waters	4		
John Wilhelm	3		
Johnnie To	2		
Jon Amiel	2		
Jon Avnet	2		
Jon Blair	1		
Jon Bowermaster	1		
Jon Hutcheson	1		
Jon Jones	1		
Jon Jory	1		
Jon Palfreman	3		
Jon Silver	2		
Jon Turteltaub	2		
Jonas Elmer	1		
Jonathan Caouette	1		
Jonathan Challis	1		
Jonathan Dayton	1		
Jonathan Demme	6		
Jonathan Frakes	2		
Jonathan Gayles	1		
Jonathan Grupper	1		
Jonathan Kaplan	1		
Jonathan Lewis	1		
Jonathan Lynn	1		
Jonathan Meyer Robinson	1		
Jonathan Miller	1		
Jonathan Mostow	1		
Jonathan Sahula	1		
Jonathan Stack	1		
Jonathan Stamp	1		
Jordan Brady	1		
Jorge Ulla	1		
Jose Antonio Vargas	1		
Jose Falcon Rodgrigo	1		
Jose Luis Cuerda	1		
Jose Padilha	2		
Jose Quintero	1		
Josef	3		
Josef Berne	1		
Josef Rusnak	1		
Joseph	2		
Joseph Albrecht	1		
Joseph Anthony	1		
Joseph Cedar	3		
Joseph Gai Ramaka	1		
Joseph Green	2		
Joseph H	2		
Joseph Hardy	1		
Joseph J	1		
Joseph L	5		
Joseph Lewis	1		
Joseph Losey	2		
Joseph Meissner	1		
Joseph Mustacchi	1		
Joseph Pitchhadze	1		
Joseph Santley	1		
Josh Aronson	2		
Josh Fox	2		
Joshua Logan	2		
Joshua Marston	1		
Joshua Oppenheimer	2		
Joshua White	1		
Josie Lehrer	1		
Joss Whedon	1		
Juan Agustin Marquez	1		
Juan Andres Arango	1		
Juan Carlos Munos	1		
Juan Jose Campanella	3		
Juan Jose Jusid	1		
Juan Taratuto	1		
Judd Apatow	1		
Judith Leonard	1		
Judy Kibinge	1		
Jules Dassin	5		
Julia Haslett	1		
Julia Meltzer	1		
Julian Amyes	3		
Julian Aymes	1		
Julian Jarrold	1		
Julian Schnabel	3		
Julie Akeret	1		
Julie Anderson	1		
Julie Bridgham	1		
Julie Gustafson	3		
Julie Walker	1		
Julie Wyman	2		
Julien Duvivier	1		
Justin Chadwick	3		
Justin Hardy	2		
Justin Lin	1		
Justin Simien	1		
Justine Shapiro	1		
Juzo Itami	2		
Kaige Chen	1		
Kambozia Partovi	1		
Kaneto Shindo	1		
Kang Jegyu	1		
Kang Woo	2		
Kara Herold	1		
Karan Johar	3		
Karel Reisz	3		
Karen Thorsen	1		
Karim Miske	1		
Karin Venegas	1		
Karl Freund	1		
Karl Genus	1		
Karl Markovics	1		
Karren Ruff	1		
Kasper Barfoed	1		
Kasuo Kuroki	1		
Kate Kirtz	1		
Kate Raisz	1		
Katherine Linton	1		
Kathleen Hughes	2		
Kathleen Mc	1		
Kathy Conkwright	1		
Katie Jennings	1		
Katja	1		
Katsitsionni Fox	1		
Katsuyuki Motohiro	1		
Kay Armatage	1		
Kay Pollak	1		
Kay Sloan	1		
Kayoko Aiba	1		
Kazuaki Kiriya	2		
Kazuo Komizu	1		
Keisuke Kinoshita	4		
Kell Kearns	1		
Kelly Anderson	1		
Ken Annakin	1		
Ken Burns	4		
Ken Diego	3		
Ken Loach	4		
Ken Musen	2		
Ken Russell	1		
Kenji Mizoguchi	2		
Kenneth Branagh	4		
Kenneth Lonergan	1		
Kenny Glenaan	1		
Keren Yedaya	1		
Kevin Arkadie	1		
Kevin Billington	1		
Kevin Brownlow	2		
Kevin Costner	1		
Kevin Kline	1		
Kevin Lima	1		
Kevin Macdonald	4		
Kevin Michael Kertscher	1		
Kevin Rafferty	2		
Kevin Smith	2		
Kevin Spacey	1		
Ki	4		
Kihachi Okamoto	2		
Kim Chi	1		
Kim Farrant	1		
Kim Jee	2		
Kim Jinyeul	1		
Kim Ki	7		
Kim Mordaunt	1		
Kim Pyong	1		
Kim Sang	1		
Kim Tae	2		
Kimberlee Acquaro	1		
King Ampaw	1		
King Vidor	5		
Kinoshita Keisuke	1		
Kirby Dick	4		
Kirk Browning	3		
Kirk Wolfinger	2		
Kiyoshi Kurosawa	1		
Klay Hall	1		
Knoshita Keisuke	1		
Ko Nakahira	2		
Koji Fukada	1		
Kon Ichikawa	4		
Konrad Wolf	2		
Kore	1		
Krijn	1		
Kristi Jacobson	1		
Kristy Guevara	1		
Krzystztof Kieslowski	1		
Krzysztof Kieslowski	3		
Kurt Maetzig	3		
Kurt Wimmer	1		
Kwak Jae	1		
Kwak Kyung	1		
Kwang Jo Young	1		
Kyi Soe Tun	1		
Kyle Newman	1		
Kyoko Miyake	1		
Lajos Koltai	1		
Lamont Johnson	1		
Lance Hammer	1		
Larkin Mc	1		
Larry Arrick	1		
Larry Clark	1		
Larry Engel	2		
Larry Klein	2		
Lars	5		
Laslo Benedek	1		
Lasse Hallstrom	4		
Laura J	1		
Laurence Malkin	1		
Laurence Olivier	10		
Laurent Cantet	1		
Laurent Salgues	1		
Laurie Kahn	2		
Lawrence Kasdan	1		
Le	1		
Lee Chang	2		
Lee Daniels	3		
Lee H	1		
Lee Tamahori	1		
Lee Unkrich	2		
Leila Conners Petersen	1		
Len Janson	1		
Leo Eaton	1		
Leo Mc	5		
Leon Geller	2		
Leon Ichaso	2		
Leonard Horn	1		
Leonard Nimoy	2		
Leonce Ngabo	1		
Les Blank	1		
Leslie Carde	1		
Leslie H	5		
Lewis Allen	2		
Lewis Gilbert	1		
Lewis Milestone	5		
Li Chancal	1		
Li Chencal	9		
Liesl Clark	4		
Lillian Jimenez	1		
Linda Garmon	2		
Linda Goldstein Knowlton	2		
Linda Hattendorf	1		
Linda Hoaglund	1		
Linda Saffire	1		
Lindsay Anderson	4		
Lino Brocka	3		
Lisa	1		
Lisa Ades	1		
Lisa Collins	1		
Lisa F	1		
Lisa Matthews	1		
Lixin Fan	1		
Liz Keim	1		
Liz Mermin	1		
Llewellyn M	1		
Lllewellyn M	1		
Lloyd Bacon	5		
Lloyd Richards	1		
Lo Chun Yip	1		
Lodge H	1		
Logan Smalley	1		
Lonny Price	1		
Loretta Alper	2		
Lorry Salcedo Mitrani	1		
Lou Zukor	1		
Louie Psihoyos	2		
Louis Feuillade	2		
Louis Gasnier	1		
Louis Leterrier	1		
Louis Malle	6		
Louis Massiah	1		
Louis Mercanton	1		
Louise Lockwood	1		
Louise Osmond	2		
Lourdes Portillo	3		
Lowell Sherman	1		
Luc Besson	2		
Luc Moullet	1		
Luchino Visconti	3		
Lucia Salinas Briones	1		
Lucia Small	1		
Luciano Lucignani	1		
Lucio Fulci	3		
Lucy Ostrander	2		
Luis Bunuel	3		
Luis Puenzo	2		
Lut Vandekeybus	1		
Lydia Nibley	2		
Lyell Davies	1		
Lyn Goldfarb	3		
Lynn Hershman Leeson	2		
M	4		
Madhur Bhandarkar	1		
Madison Davis Lacy	1		
Mads Brugger	1		
Mahiro Maeda	1		
Mahmood Jamal	1		
Mai Masri	1		
Maisie Crow	1		
Majid Majidi	1		
Makoto Shinkai	1		
Malachi Roth	1		
Malcolm Clarke	1		
Malcolm Ingram	1		
Malin Andersson	1		
Mamoru Hosoda	3		
Mamoru Oshii	6		
Mani Ratnam	1		
Manthia Diawara	1		
Manuel Boursinhac	1		
Manuel Correa	1		
Maple Razsa	1		
Marc Bauder	1		
Marc Connelly	1		
Marc Daniels	2		
Marc J	2		
Marc Jobst	1		
Marc Silver	1		
Marc Singer	1		
Marcel Carne	1		
Marcela Gaviria	2		
Marcia Paradiso	1		
Marco Bellocchio	2		
Marco Ferreri	1		
Marcos Loayza	1		
Marcus Nispel	1		
Margaret Brown	1		
Margaret Koval	3		
Margaret Williams	1		
Margarethe	1		
Maria Finitzo	1		
Maria Govan	1		
Maria Schrader	1		
Maria Yatskova	1		
Mariah Wilson	1		
Mariano Barroso	1		
Mariano Galperin	1		
Mariel Brown	1		
Marilou Diaz	2		
Marilu Mallet	1		
Marino Amoruso	1		
Mario Camus	1		
Mario Caserini	1		
Mario Opazo	1		
Marion	1		
Mark A	1		
Mark Achbar	2		
Mark Andrews	1		
Mark Bamford	1		
Mark Brokaw	1		
Mark Cousins	1		
Mark Crews	3		
Mark Davis	1		
Mark Frost	1		
Mark Ganguzza	2		
Mark Gibson	1		
Mark Kitchell	1		
Mark Lewis	1		
Mark Moskowitz	1		
Mark Robson	4		
Mark Rydell	1		
Mark Samels	1		
Mark Vicente	1		
Mark Warren	1		
Mark Zwonitzer	4		
Marlon Riggs	1		
Marlon T	3		
Maro Chermayeff	1		
Marshall A	2		
Marshall W	1		
Martha Goell Lubell	1		
Martha Sandlin	1		
Martha Shane	1		
Martin Campbell	3		
Martin Carr	1		
Martin Dennis	4		
Martin Doblmeier	2		
Martin Mc	1		
Martin Rejtman	1		
Martin Rosen	1		
Martin Scorsese	20		
Martin Zandvliet	1		
Martina Kudlacek	2		
Marty Callner	1		
Marty Gross	1		
Marvin J	1		
Mary Ann Smothers Bruni	1		
Mary Beth Durkin	1		
Mary Dore	1		
Mary Downes	1		
Mary Lance	1		
Maryam Keshavarz	1		
Maryam Shahriar	1		
Maryanne Galvin	1		
Maryo J	1		
Masahiro Kobayashi	1		
Masahiro Shinoda	2		
Masahiro Takata	1		
Masaki Kobayashi	7		
Masayuki Suo	1		
Matias Pineiro	1		
Matt	1		
Matt Levy	1		
Matt Lipsey	1		
Matthew Bright	1		
Matthew Galkin	1		
Matthew Heineman	2		
Matthew Saville	1		
Matthew Von Manahan	1		
Maureen Blackwood	2		
Maureen Palmer	1		
Maurice M	4		
Maurice Pialat	3		
Maurice Tourneur	3		
Mauricio Martinez	1		
Max Faberbock	1		
Max Fleischer	2		
Max Good	1		
Max Nosseck	2		
Max Ophuls	1		
Max Opuls	2		
Max Reinhardt	1		
Maximilian Schell	1		
Maya Gallus	1		
Megan Mylan	1		
Meir Zarchi	1		
Mel Brooks	4		
Mel Bucklin	1		
Mel Gibson	3		
Mel Stuart	2		
Melanie Archer	2		
Melvin	2		
Menachem Daum	1		
Merian C	1		
Merrill Brockway	1		
Mervyn Le	8		
Merzak Allouache	2		
Michael Anderson	3		
Michael Apted	1		
Michael Arias	1		
Michael Attwell	1		
Michael Bay	3		
Michael Blackwood	1		
Michael Cimino	2		
Michael Cohn	1		
Michael Craig	2		
Michael Crichton	1		
Michael Cristofer	1		
Michael Curitz	1		
Michael Curtiz	13		
Michael Drumm	1		
Michael Edmunds	1		
Michael Ferguson	2		
Michael G	1		
Michael Glawogger	1		
Michael Haneke	4		
Michael Kahn	1		
Michael Kirk	10		
Michael Kloft	1		
Michael Langham	1		
Michael Lehmann	2		
Michael Mann	4		
Michael Matheson Miller	1		
Michael Mc	3		
Michael Moore	5		
Michael Mulcahy	1		
Michael O	1		
Michael Patrick Kelly	1		
Michael Powell	11		
Michael R	1		
Michael Radford	3		
Michael Raeburn	1		
Michael Rapaport	1		
Michael Roemer	1		
Michael Rymer	1		
Michael Schultz	1		
Michael Schwarz	2		
Michael Singh	1		
Michael Taylor	1		
Michael Tuchner	1		
Michael Whyte	1		
Michael Winner	1		
Michael Winterbottom	5		
Michaelangelo Antonioni	1		
Michal Aviad	1		
Michal Nekanda	1		
Michel Deville	1		
Michel Gondry	4		
Michel Khleifi	1		
Michel Orion Scott	1		
Michelangelo Antonioni	2		
Michele Ohayon	1		
Mick Conefry	2		
Micki Dickoff	1		
Miguel Picker	2		
Mikael Agaton	1		
Mikaela Shwer	1		
Mike Birbiglia	1		
Mike Birkhead	1		
Mike Clattenburg	1		
Mike Figgis	1		
Mike Gabriel	1		
Mike Goetz	1		
Mike Hill	1		
Mike Judge	1		
Mike Leigh	2		
Mike Millon	1		
Mike Newell	2		
Mike Nichols	3		
Mike Shiley	1		
Mike Tollin	1		
Mikhail Kalatozov	2		
Mikio Naruse	2		
Millard Webb	1		
Milos Forman	2		
Mimi Chakarova	1		
Mimi Pickering	1		
Minky Schlesinger	1		
Miri Navasky	2		
Misao Arai	1		
Mischa Scorer	3		
Mo Masterson	1		
Mohammad Farokhmanesh	1		
Mohammad Rasoulof	1		
Mohsen Makhmalbaf	1		
Morten Tyldum	1		
Morton Da	1		
Mosco Kamwendo	1		
Moshe Levinson	1		
Moustapha Akkad	1		
Mr	1		
Mun Jeong	1		
Murray Golden	1		
Mystelle Brabbee	1		
N	1		
Na Hong	1		
Nacer Khemir	1		
Nadav Schirman	1		
Nagisa Oshima	2		
Nahid Persson	1		
Naji Abu Nowar	1		
Nancy Buirski	1		
Nancy Tong	1		
Naomi Levari	1		
Naoyoshi Shiotani	1		
Nasser Saffarian	1		
Nasser Taghvai	1		
Nathan Greno	1		
Nathan Hertz	1		
Nathaniel Kahn	1		
Nazy Mustafa	2		
Neal Hutcheson	1		
Ned Judge	1		
Neil Burger	2		
Neil Diamond	1		
Neil Docherty	2		
Neil Jordan	4		
Neil La	1		
Neil Marshall	1		
Neill Blomkamp	1		
Nelson Ponta	1		
Nic Young	1		
Nicholas Barker	1		
Nicholas Hytner	1		
Nicholas Meyer	2		
Nicholas R	1		
Nicholas Ray	6		
Nicholas Renton	1		
Nick	1		
Nick Cassavetes	1		
Nick Havinga	1		
Nick Hughes	1		
Nick Simon	1		
Nicola Seare	2		
Nicolas Cage	1		
Nicolas Pallay	1		
Nicolas Roeg	6		
Nicolas Rossier	2		
Nicole Boxer	1		
Niels Arden Oplev	1		
Nigel Cole	1		
Nigel Finch	1		
Nigel Wattis	1		
Nikhil Advani	2		
Nikita Mikhalkov	2		
Nikos Psacharopoulos	1		
Nilosree Biswas	1		
Nina Rosenblum	1		
Nir Bergman	2		
Nisha Pahuja	2		
Noah Baumbach	1		
Noboru Iguchi	1		
Nobuhiko Obayashi	1		
Nobuo Nakagawa	1		
Noel Black	1		
Noga Ashkenazi	1		
Nora Twomey	1		
Norifumi Suzuki	1		
Norio Tsuruta	1		
Norman Jewison	2		
Norman Lloyd	1		
Normand Destardins	1		
Nunnally Johnson	1		
Nuri Bilge Ceylan	2		
Oak Lea	1		
Obie Benz	1		
Ofir Trainin	1		
Ofra Bikel	2		
Olga Nakkas	1		
Oliver Hirschbiegel	1		
Oliver Parker	3		
Oliver Stone	16		
Olivia Klaus	1		
Oren Jacoby	1		
Oren Moverman	1		
Oren Rudavsky	1		
Oren Stern	1		
Orsen Welles	1		
Orson Welles	3		
Oscar	1		
Oscar Micheaux	2		
Oscar Ruiz Navia	1		
Otto Preminger	6		
Owsley Brown I	1		
Oxide Pang	1		
Oz Scott	1		
P	1		
Pablo Fendrik	1		
Pablo Garcia	11		
Pablo Giorgelli	2		
Pablo Larrain	1		
Packy Mc	2		
Pam Glennon	1		
Pamela Mason Wagner	1		
Pamela Roberts	1		
Pankuj Parashar	1		
Panos Cosmatos	1		
Pao Hsueh	1		
Paolo Agazzi	1		
Park Chan	2		
Park Hoon	1		
Park Ki	1		
Park Kwang	1		
Partho Sen	1		
Parvez Sharma	1		
Patrice Leconte	3		
Patricia Amlin	1		
Patricia Cardozo	1		
Patricia Saunders	1		
Patrick Lussier	1		
Patrick Mario Bernard	1		
Patrick Reed	1		
Paul Andrew Williams	1		
Paul Bogart	5		
Paul Brickman	1		
Paul Bryers	1		
Paul Cowan	1		
Paul E	1		
Paul Eedle	1		
Paul Fejos	1		
Paul Greengrass	1		
Paul Haggis	1		
Paul Leni	3		
Paul Mariano	1		
Paul Mazursky	2		
Paul Miller	1		
Paul O	1		
Paul Oremland	1		
Paul Pissanos	2		
Paul Schrader	2		
Paul Sills	1		
Paul Stern	1		
Paul Thomas Anderson	4		
Paul Verhoeven	7		
Paul Wagner	1		
Paul Wegener	2		
Paul Weitz	1		
Paul Wilkes	1		
Paula Hernandez	1		
Paula Morgado	1		
Pavel Giroud	1		
Pavel Lounguine	1		
Pawel Pawlikowski	1		
Pedr James	1		
Pedro Almodovar	3		
Peggy Scott Laborde	1		
Pema Gellek	1		
Pepita Ferrari	1		
Per Holmes	1		
Per Lindberg	1		
Perry Henzell	1		
Pete Docter	2		
Pete Travis	1		
Peter Bate	1		
Peter Batty	5		
Peter Bisanz	1		
Peter Bogdanovich	2		
Peter Brook	2		
Peter Cattaneo	1		
Peter Cohn	1		
Peter Collinson	1		
Peter Cregeen	2		
Peter Davis	2		
Peter Gardos	1		
Peter Getzels	1		
Peter Glenville	1		
Peter Greenaway	7		
Peter Hafner	1		
Peter Hanson	1		
Peter Hercombe	1		
Peter Hyams	1		
Peter Jackson	4		
Peter Jones	4		
Peter Kosminsky	1		
Peter Levin	1		
Peter Lydon	1		
Peter Medak	2		
Peter Nicholson	1		
Peter Raymont	1		
Peter Reichelt	1		
Peter Rosen	1		
Peter Sasdy	2		
Peter Segal	1		
Peter Smith	1		
Peter Sollett	1		
Peter Walker	1		
Peter Watkins	4		
Peter Weir	4		
Peter Wellington	1		
Peter Yates	1		
Phil Alden Robinson	1		
Phil Grabsky	1		
Phil Joanou	1		
Phil Karlson	1		
Phil Rosen	1		
Philip B	2		
Philip Cullen	1		
Philip D	1		
Philip Day	2		
Philip Kaufman	2		
Philip Leacock	1		
Philip Martin	1		
Philip Saville	1		
Philip Smith	1		
Philipp Stolzl	1		
Philippe Aractingi	1		
Philippe Muyl	1		
Philippe Triboit	2		
Phillip Montgomery	1		
Phillip Noyce	2		
Phoebe Ferguson	1		
Phylis Geller	1		
Pia Marais	1		
Pier Paolo Pasolini	3		
Pierre	1		
Pierre Mignault	1		
Pierre Salvadori	1		
Piers Haggard	1		
Pietro Francisci	1		
Pilar Prassas	1		
Pitof	1		
Polly Morland	1		
Pong Chun	1		
Poul	1		
Prasanna Vithanage	3		
Preston Sturges	4		
Q	1		
Queen Muhammad Ali	1		
Quentin Brown	2		
Quentin Tarantino	7		
R	2		
Ra	1		
Rachel Dretzin	2		
Rachel Dretzin Goodman	1		
Rachel Grady	1		
Rachel Raimist	1		
Rachel Talbot	1		
Radu Mihaileanu	2		
Rafi Pitts	2		
Rahul Dholakia	1		
Rainer Maria Fassbinder	1		
Rainer Werner Fassbinder	4		
Raj Kapoor	2		
Rakesh Omprakash Mehra	1		
Rakhshan Bani	1		
Ralph Bakshi	1		
Ralph Fiennes	1		
Ralph Hemecker	1		
Ralph Levy	2		
Ralph Nelson	1		
Ralph Ziman	1		
Ramadan Suleman	1		
Ramesh Sippy	1		
Ramin Serry	1		
Randal Kleiser	1		
Randolph Benson	1		
Raney Aronson	2		
Raoul Peck	2		
Raoul Walsh	11		
Raphael Nadjari	2		
Rashid Masharawi	1		
Raul Haig	1		
Ravi Chopra	1		
Ray Ashley	1		
Ray Lawrence	1		
Ray Muller	1		
Raymond W	1		
Raymonde Provencher	1		
Raymundo Gleyzer	1		
Rebecca Haimowitz	1		
Rebecca Harrell Tickell	1		
Rebecca Jones	1		
Rebekah Wingert	1		
Regan Pretlow Brashear	1		
Reginald Barker	1		
Reiner E	1		
Remigiusz Sowa	1		
Renata Celichowska	1		
Rene Clair	3		
Rene Claire	2		
Rene Laloux	1		
Renee Rosen	1		
Renen Schorr	1		
Renny Harlin	1		
Renny Rye	1		
Rhonda Fabian	8		
Rian Johnson	4		
Ric Burns	8		
Ricardo Lobo	1		
Ricardo Preve	1		
Rich Pontius	1		
Richard Alan Elias	1		
Richard Attenborough	2		
Richard Barber	1		
Richard Bedser	1		
Richard Benjamin	1		
Richard Brooks	2		
Richard Burton	1		
Richard Denton	1		
Richard Dindo	1		
Richard Fleischer	5		
Richard Franklin	1		
Richard Fung	1		
Richard Glatzer	2		
Richard Gordon	1		
Richard I	1		
Richard Kelly	1		
Richard Knox Robinson	1		
Richard La	1		
Richard Lester	2		
Richard Linklater	4		
Richard M	1		
Richard Marquand	1		
Richard Moore	1		
Richard Oswald	1		
Richard P	1		
Richard Pearce	1		
Richard Rush	1		
Richard Schickel	1		
Richard T	1		
Richard Thorpe	4		
Richard Tuggle	1		
Richard Wallace	1		
Richard Wilson	1		
Rick Young	5		
Ricki Stern	1		
Ricky Gervais	2		
Ridley Scott	9		
Ritu Sarin	2		
Riva Freifeld	1		
Rob Cohen	1		
Rob Coldstream	2		
Rob Epstein	4		
Rob Marshall	1		
Rob Reiner	2		
Rob Stewart	1		
Robby Henson	1		
Robert Aldrich	6		
Robert Altman	9		
Robert Benedetti	1		
Robert Benton	2		
Robert Bresson	1		
Robert Butler	1		
Robert C	1		
Robert Cannon	1		
Robert Connolly	1		
Robert Cornellier	1		
Robert Dornhelm	1		
Robert Duvall	1		
Robert Eggers	1		
Robert Flaherty	1		
Robert Gardner	1		
Robert Greenwald	1		
Robert Guediguian	2		
Robert Hamer	2		
Robert Hillman	1		
Robert Kalfin	1		
Robert Kenner	4		
Robert Lemelson	7		
Robert Lewis	1		
Robert Luketic	1		
Robert M	1		
Robert Mandel	1		
Robert Mc	2		
Robert Montgomery	2		
Robert Mugge	1		
Robert Mulligan	3		
Robert Pulcini	1		
Robert Redford	2		
Robert Richter	1		
Robert Rodriguez	4		
Robert Rossen	2		
Robert Siodmak	8		
Robert Stevenson	2		
Robert Stone	1		
Robert Stromberg	1		
Robert Townsend	2		
Robert Wiene	1		
Robert Wise	7		
Robert Z	2		
Robert Zemeckis	2		
Roberto Benigni	1		
Roberto Minervini	1		
Roberto Rossellini	2		
Rodley Scott	1		
Rodney Bennett	5		
Rodney Evans	1		
Rodrigo Furth	1		
Rodrigo Vazquez	1		
Roger Allers	2		
Roger Corman	3		
Roger Donaldson	1		
Roger Michell	1		
Roger Spottiswoode	1		
Roger Vadim	1		
Roger Weisberg	1		
Rogier Kappers	1		
Roland Emmerich	2		
